Body_Type,Sex,Diet,How_Often_Shower,Heating_Energy_Source,Transport,Vehicle_Type,Social_Activity,Monthly_Grocery_Bill,Frequency_of_Traveling_by_Air,Vehicle_Monthly_Distance_Km,Waste_Bag_Size,Waste_Bag_Weekly_Count,How_Long_TV_PC_Daily_Hour,How_Many_New_Clothes_Monthly,How_Long_Internet_Daily_Hour,Energy_efficiency,Recycling,Cooking_With,CarbonEmission
overweight,female,pescatarian,twice a day,electricity,private,electric,never,175,frequently,8.643297068211963,small,4,16,45,14,Yes,"['Plastic', 'Glass']","['Stove', 'Oven']",1814
underweight,female,omnivore,daily,electricity,private,electric,often,190,never,8.730589391275567,medium,6,6,44,19,Yes,"['Plastic', 'Glass', 'Metal']","['Stove', 'Oven', 'Microwave', 'Grill', 'Airfryer']",1284
underweight,male,pescatarian,more frequently,coal,public,No Vehicle,often,73,rarely,7.257707677160043,large,7,15,6,12,Yes,"['Paper', 'Metal']","['Stove', 'Oven', 'Grill', 'Airfryer']",1839
underweight,female,pescatarian,twice a day,electricity,public,No Vehicle,never,214,rarely,5.948034989180646,large,3,10,24,18,Sometimes,"['Paper', 'Plastic', 'Glass']","['Stove', 'Grill', 'Airfryer']",1026
underweight,female,omnivore,twice a day,natural gas,private,lpg,often,127,never,8.518392471991719,large,6,20,37,6,Yes,"['Paper', 'Plastic', 'Glass']","['Grill', 'Airfryer']",2600
normal,female,vegetarian,twice a day,electricity,walk/bicycle,No Vehicle,often,62,very frequently,4.356708826689592,extra large,4,3,33,10,No,"['Paper', 'Glass', 'Metal']","['Stove', 'Microwave']",2189
underweight,male,vegetarian,daily,electricity,public,No Vehicle,sometimes,199,rarely,5.272999558563747,large,2,17,45,5,Sometimes,[],['Stove'],1500
underweight,male,vegetarian,more frequently,wood,public,No Vehicle,never,256,frequently,7.277247726631484,small,6,16,25,5,Sometimes,"['Paper', 'Plastic', 'Metal']","['Oven', 'Microwave']",1685
normal,female,vegan,daily,coal,walk/bicycle,No Vehicle,sometimes,223,frequently,4.07753744390572,medium,6,13,26,7,Sometimes,"['Paper', 'Glass']","['Microwave', 'Grill', 'Airfryer']",1914
overweight,female,vegan,less frequently,natural gas,private,hybrid,never,185,rarely,8.730589391275567,extra large,2,14,48,13,No,"['Paper', 'Glass']","['Microwave', 'Grill', 'Airfryer']",2845
underweight,female,vegan,daily,natural gas,private,hybrid,often,125,rarely,8.730589391275567,large,2,4,12,12,Sometimes,"['Glass', 'Metal']","['Oven', 'Microwave']",2152
overweight,female,pescatarian,more frequently,coal,private,electric,often,294,very frequently,8.076204527239026,small,1,5,20,21,Sometimes,"['Paper', 'Plastic', 'Glass']","['Stove', 'Microwave']",2577
obese,female,omnivore,twice a day,coal,private,lpg,often,187,rarely,8.730589391275567,medium,3,1,9,13,Yes,"['Paper', 'Plastic', 'Glass']",['Stove'],4220
underweight,male,pescatarian,less frequently,natural gas,public,No Vehicle,often,155,never,6.214608098422191,large,6,17,5,2,Yes,"['Plastic', 'Glass', 'Metal']","['Grill', 'Airfryer']",1199
underweight,female,vegan,more frequently,wood,public,No Vehicle,often,277,frequently,7.2633296174768365,large,3,4,13,16,Sometimes,"['Paper', 'Plastic', 'Glass', 'Metal']","['Stove', 'Oven', 'Grill', 'Airfryer']",1552
obese,male,omnivore,twice a day,coal,private,electric,never,296,very frequently,4.564348191467836,small,5,9,15,11,Yes,"['Paper', 'Plastic']",['Stove'],3294
obese,female,vegan,daily,coal,private,diesel,often,213,very frequently,7.291656209174461,small,6,7,28,1,Sometimes,"['Glass', 'Metal']","['Stove', 'Microwave']",3243
normal,female,pescatarian,twice a day,coal,public,No Vehicle,often,269,never,7.067319848653476,extra large,2,7,44,20,No,"['Paper', 'Plastic', 'Metal']","['Stove', 'Oven']",1675
normal,female,vegetarian,twice a day,electricity,public,No Vehicle,often,86,rarely,7.10085190894405,small,7,6,24,3,No,[],"['Stove', 'Microwave', 'Grill', 'Airfryer']",1304
underweight,male,omnivore,twice a day,electricity,walk/bicycle,No Vehicle,often,228,very frequently,4.605170185988092,large,6,13,24,18,No,"['Paper', 'Plastic']","['Stove', 'Oven', 'Microwave']",2878
underweight,male,pescatarian,twice a day,electricity,private,hybrid,never,243,never,7.933079771880415,large,2,21,16,14,Yes,"['Paper', 'Metal']",['Oven'],1126
underweight,male,omnivore,twice a day,natural gas,walk/bicycle,No Vehicle,sometimes,276,rarely,2.0794415416798357,large,3,10,28,12,Sometimes,"['Paper', 'Plastic', 'Metal']","['Stove', 'Grill', 'Airfryer']",1489
normal,male,omnivore,more frequently,electricity,private,electric,often,292,frequently,8.116118431609365,medium,4,24,40,0,Yes,"['Paper', 'Plastic', 'Glass', 'Metal']","['Oven', 'Grill', 'Airfryer']",1954
underweight,female,vegan,daily,electricity,public,No Vehicle,never,282,frequently,7.297091005160418,large,7,0,31,9,Sometimes,"['Plastic', 'Glass']","['Stove', 'Oven', 'Microwave', 'Grill', 'Airfryer']",1957
obese,female,pescatarian,less frequently,natural gas,public,No Vehicle,often,74,very frequently,7.535830462798367,extra large,7,9,36,23,No,"['Glass', 'Metal']",[],3778
underweight,female,vegan,twice a day,natural gas,public,No Vehicle,never,208,very frequently,7.415776975415394,extra large,2,24,29,10,Yes,"['Glass', 'Metal']","['Grill', 'Airfryer']",2069
normal,male,omnivore,less frequently,coal,public,No Vehicle,never,260,frequently,6.652863029353347,large,2,6,34,24,No,"['Paper', 'Plastic', 'Metal']",['Oven'],2421
normal,male,vegan,more frequently,electricity,public,No Vehicle,often,294,very frequently,6.950814768442584,medium,2,5,42,15,No,['Metal'],"['Stove', 'Oven', 'Grill', 'Airfryer']",2801
obese,female,pescatarian,twice a day,electricity,private,petrol,often,52,frequently,8.730589391275567,small,4,19,46,23,Sometimes,"['Paper', 'Metal']",[],5547
obese,male,vegan,daily,natural gas,walk/bicycle,No Vehicle,never,229,frequently,2.772588722239781,extra large,2,22,22,12,No,['Paper'],"['Stove', 'Microwave', 'Grill', 'Airfryer']",2343
obese,male,vegetarian,more frequently,natural gas,public,No Vehicle,often,291,never,7.090076835776092,extra large,5,0,21,15,No,"['Paper', 'Metal']","['Oven', 'Microwave', 'Grill', 'Airfryer']",2232
obese,female,vegetarian,less frequently,coal,walk/bicycle,No Vehicle,never,184,frequently,3.044522437723423,large,2,12,34,9,No,"['Paper', 'Plastic']","['Stove', 'Oven', 'Grill', 'Airfryer']",2309
underweight,male,vegan,more frequently,wood,private,diesel,sometimes,131,rarely,8.308691916838898,extra large,3,11,14,17,No,"['Paper', 'Glass', 'Metal']",['Stove'],2233
underweight,male,vegan,less frequently,wood,walk/bicycle,No Vehicle,never,288,frequently,4.564348191467836,small,4,20,8,7,Yes,"['Paper', 'Plastic']","['Stove', 'Microwave']",1419
overweight,male,omnivore,less frequently,coal,walk/bicycle,No Vehicle,never,192,frequently,4.276666119016055,medium,5,20,3,13,Yes,"['Paper', 'Plastic']","['Oven', 'Grill', 'Airfryer']",2087
overweight,female,vegetarian,more frequently,electricity,public,No Vehicle,sometimes,175,very frequently,7.38025578842646,large,5,6,44,22,No,"['Glass', 'Metal']","['Stove', 'Oven', 'Microwave']",2829
overweight,female,pescatarian,daily,natural gas,public,No Vehicle,often,64,very frequently,7.375255778009754,large,2,16,49,4,Sometimes,['Metal'],"['Oven', 'Grill', 'Airfryer']",3057
overweight,male,vegan,twice a day,coal,walk/bicycle,No Vehicle,often,62,frequently,4.532599493153256,large,4,10,9,1,Sometimes,['Plastic'],"['Stove', 'Grill', 'Airfryer']",2337
normal,female,vegetarian,daily,natural gas,walk/bicycle,No Vehicle,sometimes,56,frequently,4.394449154672439,medium,3,19,50,5,No,"['Glass', 'Metal']",['Oven'],1651
obese,male,vegetarian,twice a day,electricity,walk/bicycle,No Vehicle,sometimes,209,frequently,3.091042453358316,large,3,7,31,6,Sometimes,['Paper'],"['Grill', 'Airfryer']",2214
underweight,female,omnivore,less frequently,electricity,walk/bicycle,No Vehicle,often,136,frequently,3.4657359027997265,medium,3,6,15,19,No,"['Plastic', 'Glass']","['Microwave', 'Grill', 'Airfryer']",1402
underweight,male,pescatarian,twice a day,wood,walk/bicycle,No Vehicle,often,284,very frequently,1.3862943611198906,small,2,7,12,12,Sometimes,"['Paper', 'Plastic', 'Glass']","['Stove', 'Oven']",2317
obese,male,vegetarian,twice a day,coal,private,electric,sometimes,276,never,7.900636613018005,medium,1,9,50,4,Yes,['Paper'],"['Stove', 'Oven', 'Microwave']",2027
normal,female,pescatarian,less frequently,natural gas,private,electric,often,209,never,7.3658128372094716,large,5,2,19,19,Sometimes,['Glass'],"['Stove', 'Microwave', 'Grill', 'Airfryer']",1543
overweight,female,omnivore,less frequently,wood,private,lpg,never,86,rarely,8.620110725422924,small,3,24,0,17,Sometimes,['Plastic'],"['Microwave', 'Grill', 'Airfryer']",2522
obese,female,omnivore,more frequently,electricity,private,petrol,sometimes,238,rarely,8.730589391275567,large,2,1,10,8,Sometimes,['Plastic'],"['Stove', 'Grill', 'Airfryer']",3996
normal,male,omnivore,more frequently,coal,public,No Vehicle,sometimes,79,very frequently,7.023758954738443,medium,5,10,5,19,Yes,"['Paper', 'Plastic', 'Glass']","['Oven', 'Microwave', 'Grill', 'Airfryer']",2673
obese,male,vegan,less frequently,coal,private,petrol,sometimes,200,never,7.405495663199472,small,3,3,27,11,Yes,"['Plastic', 'Glass', 'Metal']","['Stove', 'Oven']",2235
normal,female,vegetarian,twice a day,natural gas,public,No Vehicle,never,214,rarely,7.5256399750415355,large,3,16,29,9,Yes,['Metal'],"['Oven', 'Grill', 'Airfryer']",1378
underweight,male,pescatarian,daily,natural gas,walk/bicycle,No Vehicle,often,59,very frequently,4.290459441148391,extra large,6,4,39,7,Yes,"['Paper', 'Metal']","['Stove', 'Oven', 'Grill', 'Airfryer']",2939
obese,male,vegan,more frequently,electricity,private,petrol,sometimes,235,very frequently,8.385716828627851,small,2,9,6,21,Sometimes,"['Plastic', 'Metal']",['Stove'],4311
overweight,female,pescatarian,more frequently,coal,walk/bicycle,No Vehicle,never,50,frequently,4.248495242049359,medium,7,11,28,24,Sometimes,"['Paper', 'Metal']",['Stove'],2107
underweight,female,omnivore,twice a day,natural gas,private,petrol,sometimes,122,never,8.691986481789401,extra large,4,14,11,21,No,[],"['Stove', 'Microwave', 'Grill', 'Airfryer']",3419
normal,male,vegetarian,less frequently,wood,private,diesel,often,218,rarely,8.730589391275567,small,4,12,20,20,Yes,['Paper'],['Stove'],3713
obese,male,vegan,daily,natural gas,private,electric,never,156,frequently,7.621684998724611,large,1,17,0,18,Sometimes,"['Plastic', 'Glass', 'Metal']",['Oven'],1484
underweight,male,omnivore,more frequently,coal,private,electric,sometimes,289,never,7.617759576608505,extra large,7,1,40,1,Sometimes,"['Plastic', 'Glass']","['Stove', 'Oven', 'Microwave', 'Grill', 'Airfryer']",2517
overweight,female,vegetarian,twice a day,wood,public,No Vehicle,never,168,frequently,7.580189417944541,medium,7,19,9,9,No,"['Paper', 'Plastic', 'Glass']","['Stove', 'Oven', 'Grill', 'Airfryer']",1890
overweight,male,vegetarian,more frequently,coal,walk/bicycle,No Vehicle,sometimes,242,frequently,4.07753744390572,large,5,10,38,2,Sometimes,[],"['Oven', 'Microwave', 'Grill', 'Airfryer']",3071
underweight,male,vegan,less frequently,coal,walk/bicycle,No Vehicle,never,73,frequently,4.532599493153256,extra large,4,15,32,8,No,"['Paper', 'Glass', 'Metal']","['Stove', 'Grill', 'Airfryer']",2073
underweight,female,vegetarian,twice a day,coal,walk/bicycle,No Vehicle,never,145,very frequently,4.543294782270004,extra large,1,9,43,0,Yes,"['Paper', 'Plastic']","['Oven', 'Grill', 'Airfryer']",2233
underweight,female,omnivore,twice a day,wood,private,electric,often,214,never,8.730589391275567,extra large,5,19,7,16,No,[],"['Grill', 'Airfryer']",1644
obese,male,omnivore,daily,electricity,public,No Vehicle,never,117,very frequently,7.5953872788539725,medium,7,15,10,9,No,"['Paper', 'Plastic']","['Microwave', 'Grill', 'Airfryer']",2957
overweight,male,vegetarian,daily,natural gas,public,No Vehicle,sometimes,118,frequently,6.630683385642372,extra large,4,6,25,9,No,"['Paper', 'Metal']",['Microwave'],2278
underweight,female,omnivore,more frequently,coal,private,hybrid,often,292,rarely,8.730589391275567,small,6,22,23,4,Sometimes,[],"['Stove', 'Oven', 'Microwave', 'Grill', 'Airfryer']",2813
overweight,female,pescatarian,more frequently,wood,walk/bicycle,No Vehicle,never,162,frequently,4.143134726391533,small,4,3,42,6,No,"['Plastic', 'Glass']","['Oven', 'Microwave']",1983
underweight,female,vegan,daily,wood,private,petrol,never,209,rarely,8.579980179515003,extra large,3,16,3,24,Sometimes,['Glass'],"['Stove', 'Microwave']",2779
overweight,male,vegetarian,more frequently,electricity,walk/bicycle,No Vehicle,often,222,very frequently,2.8903717578961645,medium,5,22,17,1,Yes,"['Paper', 'Glass', 'Metal']",['Microwave'],2212
obese,male,vegan,twice a day,natural gas,public,No Vehicle,never,181,very frequently,1.791759469228055,small,2,7,16,14,Yes,[],['Oven'],2910
underweight,female,pescatarian,daily,coal,public,No Vehicle,sometimes,74,rarely,7.599901959208498,small,1,20,24,3,Yes,"['Paper', 'Plastic', 'Glass']",[],1051
overweight,male,vegan,more frequently,natural gas,private,lpg,sometimes,120,frequently,8.730589391275567,extra large,7,6,17,16,Sometimes,['Metal'],['Oven'],5044
normal,male,omnivore,more frequently,natural gas,public,No Vehicle,sometimes,163,never,7.171656822768514,extra large,2,23,33,8,Yes,"['Paper', 'Plastic']","['Oven', 'Microwave', 'Grill', 'Airfryer']",1595
underweight,male,vegan,twice a day,coal,private,lpg,sometimes,264,frequently,7.96032362914884,extra large,7,24,47,19,Sometimes,"['Paper', 'Plastic', 'Glass']","['Stove', 'Microwave']",3745
obese,male,vegan,less frequently,coal,private,hybrid,never,252,rarely,8.704502289721232,medium,3,20,33,15,Sometimes,"['Paper', 'Plastic', 'Glass']",[],3084
underweight,male,pescatarian,daily,wood,private,electric,sometimes,68,frequently,6.716594773520978,extra large,7,17,21,4,Yes,"['Plastic', 'Metal']","['Oven', 'Microwave']",2280
obese,male,pescatarian,twice a day,coal,public,No Vehicle,never,177,very frequently,6.493753839851687,medium,6,12,22,11,Yes,['Glass'],"['Microwave', 'Grill', 'Airfryer']",3669
normal,female,pescatarian,less frequently,wood,public,No Vehicle,sometimes,94,very frequently,6.875232087276577,small,2,17,6,2,Yes,"['Plastic', 'Glass', 'Metal']","['Oven', 'Microwave']",1724
overweight,male,omnivore,more frequently,electricity,public,No Vehicle,never,247,rarely,7.013915474810528,small,3,0,34,11,Sometimes,['Plastic'],['Microwave'],1695
overweight,male,vegan,more frequently,electricity,public,No Vehicle,sometimes,144,very frequently,6.785587645007929,small,4,7,19,16,No,"['Paper', 'Metal']",['Oven'],2423
underweight,male,vegan,daily,coal,private,diesel,never,99,frequently,6.558197802812269,large,6,4,23,3,Sometimes,"['Plastic', 'Metal']","['Grill', 'Airfryer']",2130
underweight,female,omnivore,more frequently,natural gas,private,hybrid,often,278,rarely,7.83002808253384,large,5,20,45,3,Sometimes,"['Paper', 'Metal']",[],2224
overweight,female,omnivore,twice a day,natural gas,private,petrol,never,89,very frequently,8.073714641109857,medium,2,5,9,1,No,"['Paper', 'Plastic', 'Glass']","['Oven', 'Grill', 'Airfryer']",3058
underweight,male,pescatarian,daily,electricity,public,No Vehicle,never,69,very frequently,7.578145472419466,small,1,6,25,14,Yes,"['Paper', 'Plastic']","['Stove', 'Oven', 'Microwave']",1994
underweight,female,vegetarian,daily,wood,walk/bicycle,No Vehicle,often,62,never,4.532599493153256,large,6,3,37,24,Yes,"['Plastic', 'Glass']","['Stove', 'Microwave', 'Grill', 'Airfryer']",1605
overweight,male,omnivore,more frequently,natural gas,public,No Vehicle,never,110,rarely,7.271703706887368,extra large,4,16,26,8,Sometimes,"['Paper', 'Plastic', 'Glass', 'Metal']",[],1751
overweight,female,vegan,more frequently,natural gas,public,No Vehicle,often,223,frequently,7.562161631225652,extra large,7,9,0,24,Sometimes,"['Paper', 'Glass']",['Microwave'],2405
obese,male,pescatarian,daily,natural gas,public,No Vehicle,never,73,frequently,6.741700694652055,extra large,4,4,9,17,Yes,"['Paper', 'Glass', 'Metal']","['Stove', 'Oven']",1941
obese,female,omnivore,less frequently,coal,walk/bicycle,No Vehicle,never,248,rarely,4.189654742026425,extra large,5,10,7,13,Sometimes,"['Plastic', 'Glass']","['Oven', 'Grill', 'Airfryer']",2195
obese,female,omnivore,twice a day,electricity,walk/bicycle,No Vehicle,never,145,frequently,3.7376696182833684,small,3,17,47,23,Yes,"['Plastic', 'Metal']","['Stove', 'Oven', 'Microwave', 'Grill', 'Airfryer']",2106
obese,male,pescatarian,twice a day,coal,public,No Vehicle,sometimes,216,rarely,6.455198563340122,extra large,4,11,46,7,Sometimes,"['Paper', 'Plastic', 'Glass', 'Metal']",['Stove'],2516
normal,female,vegetarian,twice a day,electricity,private,hybrid,never,255,never,8.730589391275567,extra large,4,4,46,0,Sometimes,['Plastic'],"['Stove', 'Oven', 'Microwave', 'Grill', 'Airfryer']",2956
overweight,female,pescatarian,twice a day,natural gas,walk/bicycle,No Vehicle,never,54,frequently,4.356708826689592,large,1,10,46,3,No,"['Paper', 'Glass', 'Metal']","['Stove', 'Oven', 'Microwave']",1678
normal,male,omnivore,more frequently,electricity,private,petrol,never,189,never,8.730589391275567,large,7,15,21,3,No,['Glass'],['Microwave'],4357
obese,male,vegetarian,less frequently,coal,walk/bicycle,No Vehicle,never,216,frequently,3.8918202981106265,small,3,5,31,0,No,"['Glass', 'Metal']","['Stove', 'Oven', 'Grill', 'Airfryer']",2249
normal,female,pescatarian,daily,natural gas,walk/bicycle,No Vehicle,sometimes,273,never,4.465908118654584,small,7,11,3,8,Yes,"['Paper', 'Metal']","['Microwave', 'Grill', 'Airfryer']",776
obese,male,pescatarian,daily,electricity,walk/bicycle,No Vehicle,often,281,frequently,2.9444389791664403,extra large,4,23,40,4,Sometimes,"['Glass', 'Metal']","['Stove', 'Oven']",2794
underweight,female,vegetarian,more frequently,coal,walk/bicycle,No Vehicle,sometimes,171,never,4.189654742026425,extra large,5,14,47,9,Sometimes,['Plastic'],"['Stove', 'Oven']",1939
normal,female,omnivore,daily,coal,private,hybrid,sometimes,158,frequently,7.520234556474628,extra large,6,4,9,6,No,"['Paper', 'Glass', 'Metal']",['Oven'],2250
underweight,female,pescatarian,more frequently,electricity,walk/bicycle,No Vehicle,sometimes,198,rarely,4.5217885770490405,large,7,16,13,8,Sometimes,"['Paper', 'Plastic', 'Glass', 'Metal']","['Stove', 'Oven']",1155
normal,male,omnivore,twice a day,electricity,public,No Vehicle,often,270,never,7.4673710669175595,medium,6,6,4,16,Yes,"['Paper', 'Glass', 'Metal']",['Oven'],1203
overweight,male,pescatarian,twice a day,natural gas,private,lpg,sometimes,224,very frequently,8.388905171114706,small,6,23,1,16,Yes,"['Plastic', 'Glass']","['Stove', 'Grill', 'Airfryer']",4031
underweight,female,vegetarian,less frequently,wood,public,No Vehicle,often,186,very frequently,6.9167150203536085,extra large,5,13,11,19,Sometimes,"['Paper', 'Plastic', 'Metal']","['Stove', 'Microwave']",2364
overweight,male,vegan,less frequently,wood,walk/bicycle,No Vehicle,often,122,very frequently,2.995732273553991,medium,5,19,13,23,Yes,"['Paper', 'Plastic', 'Glass', 'Metal']",[],2446
obese,female,pescatarian,twice a day,coal,private,lpg,never,158,frequently,8.730589391275567,large,6,16,24,15,Sometimes,"['Plastic', 'Glass', 'Metal']","['Stove', 'Microwave']",4445
normal,female,vegetarian,more frequently,electricity,walk/bicycle,No Vehicle,sometimes,91,rarely,4.564348191467836,medium,3,8,45,0,No,"['Plastic', 'Metal']","['Stove', 'Oven', 'Microwave', 'Grill', 'Airfryer']",1202
normal,female,vegan,more frequently,natural gas,walk/bicycle,No Vehicle,never,186,frequently,2.1972245773362196,extra large,5,15,8,0,Yes,"['Plastic', 'Metal']","['Oven', 'Grill', 'Airfryer']",1670
obese,female,pescatarian,twice a day,coal,private,lpg,sometimes,272,very frequently,8.730589391275567,large,4,3,28,17,No,['Metal'],['Microwave'],5133
underweight,male,vegan,less frequently,electricity,public,No Vehicle,sometimes,90,very frequently,7.379008127628304,extra large,7,17,1,5,No,['Metal'],"['Stove', 'Microwave']",2698
obese,female,pescatarian,less frequently,electricity,walk/bicycle,No Vehicle,often,232,never,0.0,extra large,7,18,21,8,No,"['Paper', 'Plastic']","['Stove', 'Oven', 'Microwave', 'Grill', 'Airfryer']",2092
underweight,male,vegan,more frequently,electricity,private,electric,never,222,rarely,6.9782137426306985,large,3,12,19,8,Yes,"['Plastic', 'Glass']","['Stove', 'Grill', 'Airfryer']",1086
normal,female,vegetarian,twice a day,coal,public,No Vehicle,often,229,very frequently,6.54534966033442,large,6,13,17,14,No,"['Paper', 'Metal']","['Stove', 'Microwave', 'Grill', 'Airfryer']",2835
underweight,female,omnivore,more frequently,coal,walk/bicycle,No Vehicle,never,99,rarely,3.7612001156935624,large,1,21,30,3,Sometimes,"['Paper', 'Plastic', 'Glass', 'Metal']","['Microwave', 'Grill', 'Airfryer']",987
overweight,male,vegan,twice a day,natural gas,private,electric,often,238,rarely,8.730589391275567,medium,3,8,29,0,Yes,['Glass'],['Oven'],1790
obese,male,vegetarian,less frequently,natural gas,private,lpg,sometimes,54,very frequently,8.730589391275567,large,5,13,35,13,No,"['Plastic', 'Glass']","['Oven', 'Grill', 'Airfryer']",6621
underweight,male,vegetarian,twice a day,wood,public,No Vehicle,often,191,frequently,7.400009517162692,medium,7,22,18,2,Yes,"['Paper', 'Plastic', 'Glass', 'Metal']",[],1749
normal,female,vegetarian,less frequently,coal,public,No Vehicle,often,97,very frequently,6.698268054115413,large,5,24,20,12,No,"['Paper', 'Plastic', 'Glass']","['Stove', 'Microwave', 'Grill', 'Airfryer']",2721
normal,female,vegetarian,daily,natural gas,private,diesel,often,161,rarely,7.549609165154532,large,6,22,24,17,No,"['Paper', 'Plastic', 'Glass']","['Microwave', 'Grill', 'Airfryer']",1900
underweight,male,vegetarian,twice a day,coal,public,No Vehicle,sometimes,259,frequently,4.6443908991413725,large,5,8,2,6,No,"['Paper', 'Glass', 'Metal']",['Microwave'],1756
underweight,male,vegetarian,twice a day,electricity,walk/bicycle,No Vehicle,often,147,frequently,4.276666119016055,extra large,2,18,6,15,Sometimes,"['Glass', 'Metal']",['Stove'],1449
overweight,male,vegetarian,more frequently,wood,walk/bicycle,No Vehicle,sometimes,212,rarely,4.465908118654584,extra large,1,13,25,1,Sometimes,"['Plastic', 'Glass', 'Metal']","['Microwave', 'Grill', 'Airfryer']",1400
underweight,male,omnivore,more frequently,coal,public,No Vehicle,never,263,never,6.70808408385307,small,7,18,17,10,No,"['Paper', 'Glass', 'Metal']","['Stove', 'Oven']",1441
normal,male,pescatarian,daily,electricity,private,lpg,often,206,very frequently,8.478452363099807,large,4,13,33,11,Sometimes,"['Paper', 'Plastic']","['Oven', 'Grill', 'Airfryer']",4031
normal,female,vegetarian,less frequently,electricity,walk/bicycle,No Vehicle,often,209,rarely,4.532599493153256,small,3,11,44,14,Sometimes,"['Glass', 'Metal']","['Stove', 'Oven']",1284
underweight,female,omnivore,twice a day,natural gas,private,electric,never,236,frequently,8.191740021277457,small,2,12,37,22,No,"['Paper', 'Plastic']","['Stove', 'Microwave']",1733
normal,female,omnivore,more frequently,wood,private,electric,never,110,rarely,8.647694999480395,large,4,11,45,12,Sometimes,['Paper'],"['Oven', 'Microwave']",1645
obese,female,vegetarian,more frequently,natural gas,public,No Vehicle,never,123,never,7.493317248862145,extra large,3,19,27,23,Sometimes,"['Paper', 'Plastic', 'Glass', 'Metal']","['Grill', 'Airfryer']",1374
normal,female,pescatarian,daily,electricity,walk/bicycle,No Vehicle,never,297,very frequently,4.59511985013459,small,5,1,14,0,Yes,"['Paper', 'Metal']","['Grill', 'Airfryer']",1674
underweight,male,vegetarian,daily,wood,public,No Vehicle,sometimes,159,very frequently,7.547501682814967,medium,4,22,36,21,Sometimes,"['Paper', 'Metal']","['Stove', 'Microwave']",2811
normal,female,vegetarian,more frequently,natural gas,public,No Vehicle,sometimes,165,never,7.186901020411631,small,4,19,9,6,No,['Glass'],"['Grill', 'Airfryer']",1007
normal,female,pescatarian,less frequently,wood,public,No Vehicle,never,274,frequently,6.715383386334681,small,1,4,13,15,No,"['Paper', 'Glass']",['Oven'],1466
normal,male,omnivore,daily,electricity,public,No Vehicle,often,282,frequently,6.892641641172089,extra large,1,18,35,2,Yes,['Plastic'],"['Stove', 'Grill', 'Airfryer']",2173
normal,female,omnivore,daily,electricity,walk/bicycle,No Vehicle,sometimes,212,frequently,4.564348191467836,extra large,6,16,46,10,No,['Plastic'],"['Stove', 'Oven', 'Microwave']",2420
overweight,female,omnivore,daily,coal,private,electric,often,80,rarely,8.730589391275567,large,5,19,25,3,No,"['Paper', 'Plastic', 'Metal']",['Oven'],1660
obese,female,vegetarian,more frequently,coal,private,petrol,sometimes,204,very frequently,8.106514516255185,small,6,7,36,9,Yes,"['Paper', 'Metal']","['Microwave', 'Grill', 'Airfryer']",3973
normal,female,pescatarian,more frequently,wood,walk/bicycle,No Vehicle,never,98,rarely,3.4965075614664802,medium,4,12,46,21,Yes,"['Paper', 'Plastic', 'Glass']","['Microwave', 'Grill', 'Airfryer']",1387
overweight,male,omnivore,more frequently,coal,private,petrol,never,130,very frequently,8.730589391275567,extra large,6,6,18,23,Yes,['Metal'],"['Grill', 'Airfryer']",6810
underweight,male,pescatarian,more frequently,wood,walk/bicycle,No Vehicle,never,59,frequently,3.9512437185814275,small,1,14,2,0,No,"['Plastic', 'Glass', 'Metal']","['Stove', 'Oven', 'Microwave', 'Grill', 'Airfryer']",1130
normal,female,vegetarian,twice a day,natural gas,private,lpg,sometimes,276,never,7.978310969867722,extra large,5,21,42,8,No,"['Paper', 'Metal']","['Stove', 'Oven', 'Microwave']",2393
normal,male,omnivore,more frequently,natural gas,walk/bicycle,No Vehicle,often,273,never,4.007333185232471,medium,5,12,37,8,No,['Plastic'],[],2038
overweight,male,vegan,more frequently,coal,public,No Vehicle,sometimes,71,never,7.472500744737558,small,4,19,29,18,Sometimes,"['Paper', 'Glass', 'Metal']","['Stove', 'Oven', 'Microwave', 'Grill', 'Airfryer']",1652
underweight,female,vegetarian,more frequently,wood,public,No Vehicle,often,109,frequently,7.254884810077338,small,4,1,15,4,No,"['Plastic', 'Metal']","['Stove', 'Microwave']",1475
obese,male,omnivore,less frequently,natural gas,public,No Vehicle,sometimes,127,never,6.173786103901937,medium,5,1,25,2,Sometimes,[],"['Stove', 'Oven', 'Microwave']",1867
underweight,male,vegan,daily,wood,walk/bicycle,No Vehicle,never,281,rarely,3.258096538021482,extra large,1,17,43,20,No,"['Plastic', 'Glass', 'Metal']","['Microwave', 'Grill', 'Airfryer']",1467
overweight,female,vegetarian,twice a day,wood,public,No Vehicle,sometimes,108,rarely,6.3561076606958915,large,6,15,45,20,Sometimes,['Paper'],['Stove'],1873
normal,female,vegan,less frequently,natural gas,public,No Vehicle,never,268,very frequently,3.1780538303479458,large,7,21,3,20,No,"['Paper', 'Metal']","['Stove', 'Microwave', 'Grill', 'Airfryer']",2212
underweight,male,pescatarian,daily,coal,public,No Vehicle,sometimes,100,very frequently,7.2456550675945355,medium,7,4,26,12,Sometimes,['Paper'],"['Stove', 'Oven']",3044
normal,male,omnivore,less frequently,wood,public,No Vehicle,never,112,never,5.288267030694535,large,5,0,33,23,Sometimes,[],[],1795
obese,male,pescatarian,daily,coal,public,No Vehicle,often,107,rarely,6.660575149839686,medium,7,6,27,0,Yes,"['Paper', 'Plastic', 'Glass', 'Metal']","['Stove', 'Oven']",2059
